Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Bottoms Up;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Ipsilateral;Bodybuilding
Slider Single Arm Kettlebell Overhead Contralateral Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Contralateral;Bodybuilding
Slider Single Arm Kettlebell Overhead Ipsilateral Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Ipsilateral;Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Lateral Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Contralateral;Bodybuilding
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Lateral Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Ipsilateral;Bodybuilding
Slider Single Arm Kettlebell Low Hold Contralateral Lateral Lunge;https://youtu.be/W22ESpzYHdY?si=Vh4542ktziwY39x1;https://youtu.be/W22ESpzYHdY?si=Vh4542ktziwY39x1;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Kettlebell ;1;Standing;Single Arm;Continuous;Neutral;Low Hold;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Contralateral;Bodybuilding
Slider Plate Overhead Lateral Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sliders;1;Weight Plate;1;Standing;Double Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Slider Plate Overhead Reverse Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Sliders;1;Weight Plate;1;Standing;Double Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Barbell Reverse Grip Incline Push Up;https://youtu.be/obc23NwC-3c?si=NHdYgvLBQoFpvdLm;https://youtu.be/obc23NwC-3c?si=NHdYgvLBQoFpvdLm;Beginner;Chest;Pectoralis Major;;;Barbell;1;None;1;Prone;Double Arm;Continuous;Supinated;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Single Arm Dumbbell Shrug;https://youtu.be/neQw53mbivA?si=4di6VUfOBarrAAWQ;https://youtu.be/neQw53mbivA?si=4di6VUfOBarrAAWQ;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Single Arm Dumbbell Tall Kneeling Shrug;0;0;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Dumbbell;1;None;0;Tall Kneeling;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Single Arm Dumbbell Seated Shrug;https://youtu.be/L15snvTU1qY?si=MYRw1-yq79vC87vm;https://youtu.be/L15snvTU1qY?si=MYRw1-yq79vC87vm;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Dumbbell;1;Bench (Flat);1;Seated;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Single Arm Kettlebell Shrug;https://youtu.be/iJmHIt3pq5U?si=O6Skib3fQIO2I526;https://youtu.be/iJmHIt3pq5U?si=O6Skib3fQIO2I526;Beginner;Trapezius ;Upper Trapezius;Levator Scapulae;Rhomboids;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Double Dumbbell Hang Snatch;https://youtu.be/cSmvSLAiJUM?si=h-chBAq-PsufLIrW;https://youtu.be/cSmvSLAiJUM?si=h-chBAq-PsufLIrW;Intermediate;Glutes;Gluteus Maximus;Anterior Deltoids ;;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Single Arm Dumbbell Hang Snatch;https://youtu.be/VpZwBT07DR4?si=07HCrANRza3gU5O3;https://youtu.be/VpZwBT07DR4?si=07HCrANRza3gU5O3;Intermediate;Glutes;Gluteus Maximus;Anterior Deltoids ;;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Alternating Single Arm Dumbbell Hang Snatch;https://youtu.be/BNyymHJvcJc?si=Fwbl__UOgmJahIO5;https://youtu.be/BNyymHJvcJc?si=Fwbl__UOgmJahIO5;Intermediate;Glutes;Gluteus Maximus;Anterior Deltoids ;;Dumbbell;1;None;0;Standing;Single Arm;Alternating;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Miniband Kneeling Side Plank Clamshell;https://youtu.be/DD2ntrZLoEQ?feature=shared;https://youtu.be/DD2ntrZLoEQ?feature=shared;Novice;Glutes;Gluteus Maximus;Gluteus Medius;Gluteus Minimus;Miniband;1;None;0;Side Plank;Single Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Hip External Rotation;Anti-Lateral Flexion;;Transverse Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Miniband Thigh Side Plank Hip Abduction;https://youtu.be/TBYwwlojtvE?si=QWpnXUtKvTpFNuv_;https://youtu.be/TBYwwlojtvE?si=QWpnXUtKvTpFNuv_;Novice;Abductors;Gluteus Medius;Gluteus Minimus;Tensor Fasciae Latae;Miniband;1;None;0;Side Plank;Single Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Hip Abduction;Anti-Lateral Flexion;;Frontal Plane;;;Lower Body;Other;Compound;Unilateral;Bodybuilding
Stability Ball Feet Elevated Russian Twist;https://youtu.be/gyTX0ttszBs?si=mR6_J7SkVOuRHrQN;https://youtu.be/gyTX0ttszBs?si=mR6_J7SkVOuRHrQN;Novice;Abdominals;Obliques;Rectus Abdominis;Iliopsoas;Stability Ball;1;None;0;Seated Floor;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Bodyweight Alternating Single Leg V Up;https://youtu.be/0EIDVDbzVNo?si=B73itVIXJWWYaH0C;https://youtu.be/0EIDVDbzVNo?si=B73itVIXJWWYaH0C;Novice;Abdominals;Rectus Abdominis;Iliopsoas;Obliques;Bodyweight;1;None;0;Supine;Double Arm;Continuous;No Grip;Other;Alternating;No Elevation;Single Exercise;Spinal Flexion;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Battle Rope Alternating Lateral Lunge Alternating Wave;https://youtu.be/XVLaBw4NWe8?si=tFm4FlWxePeCRyh7;https://youtu.be/XVLaBw4NWe8?si=tFm4FlWxePeCRyh7;Intermediate;Quadriceps;Quadriceps Femoris;Biceps Brachii;Adductor Magnus;Battle Ropes;1;None;0;Standing;Double Arm;Alternating;Neutral;Other;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Full Body;Other;Compound;Unilateral;Unsorted*
Single Arm Kettlebell Tall Kneeling Shrug;0;0;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Kettlebell;1;None;0;Tall Kneeling;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Single Arm Kettlebell Seated Shrug;https://youtu.be/LaywjdRLK3c?si=nTMNGy0BPyxW6WR3;https://youtu.be/LaywjdRLK3c?si=nTMNGy0BPyxW6WR3;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Kettlebell;1;Bench (Flat);1;Seated;Single Arm;Continuous;Neutral;Suitcase;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Plate Hip Thrust;https://youtu.be/k_HORfTCsi0?si=-RDu4SzCjbkXl4P5;https://youtu.be/k_HORfTCsi0?si=-RDu4SzCjbkXl4P5;Beginner;Glutes;Gluteus Maximus;Biceps Femoris;Quadriceps Femoris;Weight Plate;1;Bench (Flat);1;Bridge;Double Arm;Continuous;Neutral;Hip Crease;Continuous;No Elevation;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Bilateral;Bodybuilding
Double Dumbbell Incline Bench Prone Shrug;https://youtu.be/Cm4HfYm9w3A?si=iRKP7u31KGlnfQZt;https://youtu.be/Cm4HfYm9w3A?si=iRKP7u31KGlnfQZt;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Dumbbell;2;Bench (Incline);1;Prone;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Suspension Single Leg Foot Elevated Glute Bridge;https://youtu.be/TiPDApTAJu0?si=dVw4o9DCHCZrIteK;https://youtu.be/TiPDApTAJu0?si=dVw4o9DCHCZrIteK;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Suspension Trainer;1;None;0;Single Leg Bridge;No Arms;Continuous;No Grip;No Load;Continuous;Foot Elevated;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Tire Single Leg Foot Elevated Glute Bridge;0;0;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Obliques;Tire;1;None;0;Single Leg Bridge;No Arms;Continuous;No Grip;No Load;Continuous;Foot Elevated;Single Exercise;Hip Extension;;;Sagittal Plane;;;Lower Body;Unsorted*;Compound;Unilateral;Bodybuilding
Double Kettlebell Incline Bench Prone Shrug;0;0;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Kettlebell;2;Bench (Incline);1;Prone;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Bodybuilding
Suspension Sissy Squat;https://youtu.be/YedqbteiWoU?si=rMl_RLv88kcBcMUR;https://youtu.be/YedqbteiWoU?si=rMl_RLv88kcBcMUR;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Suspension Trainer;1;None;0;Standing;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Bilateral;Bodybuilding
Single Arm Dumbbell Incline Bench Prone Shrug;0;0;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Dumbbell;1;Bench (Incline);1;Prone;Single Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Single Arm Kettlebell Incline Bench Prone Shrug;0;0;Beginner;Trapezius;Upper Trapezius;Levator Scapulae;Rhomboids;Kettlebell;1;Bench (Incline);1;Prone;Single Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Scapular Elevation;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Unilateral;Bodybuilding
Double Dumbbell Seesaw Bench Press;https://youtu.be/fv3jtm7zP1I?si=Vx6jxC1bB20dsahE;https://youtu.be/fv3jtm7zP1I?si=Vx6jxC1bB20dsahE;Beginner;Chest;Pectoralis Major;Triceps Brachii;;Dumbbell;2;Bench (Flat);1;Supine;Double Arm;Alternating;Pronated;Above Chest;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Bulgarian Bag Dead Squat Clean;https://youtu.be/xeUVzgEapmQ?si=ieR0dXu6Bem56sNy;https://youtu.be/xeUVzgEapmQ?si=ieR0dXu6Bem56sNy;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Bulgarian Bag;1;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Knee Dominant;Hip Hinge;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Unsorted*
Double Dumbbell Seesaw Incline Bench Press;https://youtu.be/82ZJhsIOF8w?si=uigPvHNUp-5ce1jQ;https://youtu.be/82ZJhsIOF8w?si=uigPvHNUp-5ce1jQ;Beginner;Chest;Pectoralis Major;Triceps Brachii;;Dumbbell;2;Bench (Incline);1;Seated;Double Arm;Alternating;Pronated;Above Chest;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Seesaw Decline Bench Press;0;0;Beginner;Chest;Pectoralis Major;Triceps Brachii;;Dumbbell;2;Bench (Decline);1;Supine;Double Arm;Alternating;Pronated;Above Chest;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Bodyweight Hand Assisted Pistol Squat;https://youtu.be/tiA23NSUm7A?si=_N2Va66rdUdrcMpD;https://youtu.be/tiA23NSUm7A?si=_N2Va66rdUdrcMpD;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Bodyweight;1;None;0;Single Leg Standing;Double Arm;Continuous;Hand Assisted;No Load;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Calisthenics
Double Kettlebell Suitcase Alternating Curtsy Lunge;https://youtu.be/XE7MrZADkr4?si=F2dW-lk_yYLoGHjE;https://youtu.be/XE7MrZADkr4?si=F2dW-lk_yYLoGHjE;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Overhead Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Pronated;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Front Rack Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Overhead Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Pronated;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Bottoms Up;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Bottoms Up;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Front Rack Alternating Curtsy Lunge;https://youtu.be/1VkEZirajQQ?si=4EJltD-xdvd_ifWT;https://youtu.be/1VkEZirajQQ?si=4EJltD-xdvd_ifWT;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Suitcase Alternating Curtsy Lunge;https://youtu.be/SQHyEoZLd1o?si=_TJYUJVzm_zR7ZxZ;https://youtu.be/SQHyEoZLd1o?si=_TJYUJVzm_zR7ZxZ;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Overhead Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Front Rack Alternating Curtsy Lunge;https://youtu.be/lJyMP5H-_pw?feature=shared;https://youtu.be/lJyMP5H-_pw?feature=shared;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Suitcase Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Overhead Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Dumbbell Goblet Alternating Curtsy Lunge;https://youtu.be/rzwJACyQNas?si=VKxH9lJuYtpzFxQo;https://youtu.be/rzwJACyQNas?si=VKxH9lJuYtpzFxQo;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Dumbbell;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Kettlebell Horn Grip Alternating Curtsy Lunge;https://youtu.be/0xnBB7_WBpQ?si=DNO9eiIOlnVvq62-;https://youtu.be/0xnBB7_WBpQ?si=DNO9eiIOlnVvq62-;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Double Arm;Continuous;Horn Grip;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Kettlebell Goblet Alternating Curtsy Lunge;https://youtu.be/dj2zCtnlZEM?si=zXmmDlSwlhudznYC;https://youtu.be/dj2zCtnlZEM?si=zXmmDlSwlhudznYC;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Clubbell Order Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Clubbell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Clubbell Order Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Clubbell;2;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Clubbell Order Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Clubbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Macebell Order Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Macebell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Bodyweight Alternating Curtsy Lunge;https://youtu.be/SNtgnXpolPY?si=RQdshbRrgML5pKNu;https://youtu.be/SNtgnXpolPY?si=RQdshbRrgML5pKNu;Beginner;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Bodyweight;1;None;0;Standing;No Arms;Continuous;No Grip;No Load;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Calisthenics
Heavy Sandbag Bear Hug Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Heavy Sandbag;1;None;0;Standing;Double Arm;Continuous;Neutral;Bear Hug;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Unsorted*
Heavy Sandbag Shoulder Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Heavy Sandbag;1;None;0;Standing;Single Arm;Continuous;Neutral;Shoulder;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Unsorted*
Plate Overhead Alternating Curtsy Lunge;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Weight Plate;1;None;0;Standing;Double Arm;Continuous;Neutral;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Sandbag Front Rack Alternating Curtsy Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sandbag;1;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Sandbag Back Rack Alternating Curtsy Lunge;https://youtu.be/L6KZyggcDjE?feature=shared;https://youtu.be/L6KZyggcDjE?feature=shared;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Sandbag;1;None;0;Standing;Double Arm;Continuous;Neutral;Back Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Plate Hollow Body Hold;https://youtu.be/Qiu_qPGaGYM?feature=shared;https://youtu.be/Qiu_qPGaGYM?feature=shared;Intermediate;Abdominals;Rectus Abdominis;;;Weight Plate;1;None;0;Supine;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Isometric Hold;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Unsorted*
Double Dumbbell Seesaw Floor Press;https://youtu.be/xxUSV06CkFM?si=I4ywyVcTwGhyUwsk;https://youtu.be/xxUSV06CkFM?si=I4ywyVcTwGhyUwsk;Beginner;Chest;Pectoralis Major;Triceps Brachii;Anterior Deltoids;Dumbbell;2;None;0;Supine;Double Arm;Alternating;Pronated;Above Chest;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
